base_gradient_norm,base_iterations,candidate_count,feature_bound,m,optimizer_converged,outside_candidate_payers,payer_count,refits,seed,signal_norm,total_payment
1.713442475702947e-09,4,13,0.9217152405408534,1000,True,[],1,29,11,0.060544546501124334,0.3397550462373291
3.730725106127623e-11,4,10,0.9060540624326388,1000,True,[],1,26,12,0.059156975019367404,0.3263219278069298
1.1186794799556915e-09,3,23,0.8864800975129891,1000,True,[],1,39,13,0.05917136345888442,0.10289752155136031
1.0254500013902077e-09,3,14,0.8933353214910029,1000,True,[],3,62,14,0.05775095427341012,0.12861906448030305
5.3577275842883536e-12,4,15,0.9392803575984906,1000,True,[],0,15,15,0.06140962046181575,0.0
6.528413729471183e-10,3,12,0.9177009405400557,1000,True,[],2,44,16,0.0679634828563094,0.918558426709765
8.508710411320657e-12,4,22,0.9326162871509586,1000,True,[],2,54,17,0.05451389868403837,0.27119844611081956
3.0908035673084564e-11,4,14,0.895073583300757,1000,True,[],2,46,18,0.05843348791028133,0.9652819552747611
1.4195746415095578e-09,3,14,0.9083420351142509,1000,True,[],3,62,19,0.055682455475789254,1.5365099295430724
3.145936731606726e-11,4,21,0.9201244044886415,2000,True,[],1,37,0,0.059757609640739937,0.039221097981294015
1.0121377412795562e-09,3,21,0.9440381344878671,2000,True,[],2,53,1,0.05980104428223096,0.628953134045638
3.0289128346177184e-10,3,11,0.9122630585616529,2000,True,[],2,43,2,0.05335906881888581,0.5173520335034953
1.9568777634608616e-09,3,19,0.9144287267700064,2000,True,[],1,35,3,0.0544947824033284,0.20028410298355137
2.427892306940593e-10,3,16,0.9274615742340643,2000,True,[],2,48,4,0.056495569982577994,0.9818585138743596
2.2260513043479394e-09,4,21,0.9456995517544053,2000,True,[],4,85,5,0.05696140317904507,1.377159889774285
2.8724410572861193e-10,3,26,0.908176518409717,2000,True,[],3,74,6,0.05902323203999165,0.5424931190296002
1.7795084158188708e-10,3,23,0.9352576132806534,2000,True,[],2,55,7,0.052573768107116496,1.0489846985924114
7.75337320476395e-12,4,13,0.9642034428162115,2000,True,[],4,77,8,0.05913599479724461,0.7419288114964113
2.5572346269432475e-09,4,13,0.9368637831747635,2000,True,[],0,13,9,0.06439530024034881,0.0
2.2288103997169777e-09,3,19,0.9150978270216312,2000,True,[],2,51,10,0.05414731565527654,0.1723839135083003
1.3500259342578548e-11,4,18,0.9409665858942504,2000,True,[],2,50,11,0.05945126580954987,1.0534210704919533
2.339377638892967e-09,3,20,0.9030004571309989,2000,True,[],1,36,12,0.05955252228309363,0.2684967647808907
8.204208092891345e-10,3,18,0.8998787586478586,2000,True,[],2,50,13,0.05226093572715419,0.29865612553585164
1.8658501946208268e-10,3,17,0.932507440868976,2000,True,[],2,49,14,0.05354762311585475,0.5252365460344549
3.3976811312436624e-10,3,18,0.936055086937787,2000,True,[],3,66,15,0.054643138907233525,1.5836758052973647
7.247246486244998e-10,3,16,0.9624036522044666,2000,True,[],3,64,16,0.05865331261561412,1.6474052340418217
2.0126855342510133e-11,4,19,0.9681495122562622,2000,True,[],0,19,17,0.0598823621389222,0.0
1.702515334862925e-09,3,13,0.9185251214406328,2000,True,[],1,29,18,0.061053618357071224,0.07426714198256726
2.4828536424412096e-12,4,16,0.9149339565605746,2000,True,[],5,96,19,0.06448614764164244,0.986830122949349
1.8329223596039616e-10,3,11,0.9333059098804036,4000,True,[],3,59,0,0.059234736654994014,0.5169024834108458
4.4184302301032083e-10,3,20,0.926151968608354,4000,True,[],2,52,1,0.060106976535290166,1.3991650446494304
2.0217942204795356e-10,3,19,0.9132425326134654,4000,True,[],3,67,2,0.05864129738946707,0.40242515280997027
1.7666060512734124e-10,3,14,0.9052414738086759,4000,True,[],2,46,3,0.052200896897320534,1.187614256010001
3.3680245661558175e-10,3,13,0.921337771685514,4000,True,[],1,29,4,0.059529349001792985,0.4028473609956533
4.608790236678814e-10,3,19,0.9156566049043131,4000,True,[],3,67,5,0.05475385624447343,1.7938397586282313
5.813844841366334e-10,3,13,0.9353964608538053,4000,True,[],2,45,6,0.06157176590457904,0.9721288057731973
5.20824739150655e-10,3,21,0.9333499718265993,4000,True,[],4,85,7,0.054779633651159204,1.540603535002668
4.870624449154406e-10,3,21,0.9505936101298658,4000,True,[],4,85,8,0.05567834433737936,1.3492436909988212
9.42932440224285e-10,3,23,0.9269113774422325,4000,True,[],4,87,9,0.05845892592949134,1.4893311136230851
8.945285946546503e-10,3,25,0.9562774291481401,4000,True,[],2,57,10,0.05360493602727872,0.5369789867952892
7.021562408357298e-11,3,21,0.9283774757849437,4000,True,[],2,53,11,0.05588714882037493,0.13999399608562568
6.080067984855227e-10,3,15,0.9370144477402422,4000,True,[],0,15,12,0.05511101112358962,0.0
2.064842732538393e-10,3,20,0.9427853976688508,4000,True,[],2,52,13,0.06120945013881253,0.7973440351618437
7.362212420534634e-10,3,14,0.9335294637742698,4000,True,[],3,62,14,0.059304291426216675,1.1707649597792322
4.996892176501781e-10,3,13,0.9282268751682932,4000,True,[],3,61,15,0.06025311545980751,0.9166108263989127
1.4851022454656875e-10,3,21,0.9567069406382379,4000,True,[],1,37,16,0.05177660624049921,0.23273508493829365
1.3394285166537635e-09,3,13,0.932973464427881,4000,True,[],0,13,17,0.06248905948257487,0.0
3.3899614406475233e-10,3,14,0.9479987988642691,4000,True,[],2,46,18,0.06051368423744737,0.9060758556329691
4.274912462922632e-10,3,18,0.951070451364474,4000,True,[],1,34,19,0.05765818407631686,0.45595853236999323
5.88200502794793e-11,3,29,0.9407233997722233,8000,True,[],3,77,0,0.05607309675027145,1.0642568583586867
1.9478067816284013e-10,3,20,0.9557542582532558,8000,True,[],3,68,1,0.058083866589825645,0.579098653106364
7.787676835938578e-11,3,17,0.9514106304133128,8000,True,[],3,65,2,0.058939938703135686,1.8610263049648093
3.9801587937522725e-11,3,21,0.9298244580036787,8000,True,[],4,85,3,0.05744772965412137,1.4777402042368144
1.6850879944983695e-10,3,21,0.9496206420225607,8000,True,[],1,37,4,0.057178456157304075,0.12530252173166717
1.0960078907316978e-10,3,19,0.9445739646215594,8000,True,[],5,99,5,0.061711882057171055,2.625962723732921
1.5965370700668898e-10,3,12,0.9597260337169102,8000,True,[],2,44,6,0.0598658556978598,1.0267389377819869
1.9674939523176165e-10,3,12,0.927041880390321,8000,True,[],0,12,7,0.05653629535620399,0.0
1.8392263146156964e-11,3,23,0.9631535557748172,8000,True,[],2,55,8,0.05677798820566887,0.5159582861346484
1.5764805039896417e-10,3,12,0.9493502884369692,8000,True,[],2,44,9,0.05811162963767305,0.7177255930981469
2.2629171819323823e-10,3,22,0.9539160666432177,8000,True,[],2,54,10,0.05627139773856779,0.7365472202178087
1.6821744098233393e-10,3,29,0.9373683471125773,8000,True,[],2,61,11,0.05637558968794286,0.8174960228856614
8.844285443451432e-11,3,22,0.9475363871807246,8000,True,[],7,134,12,0.056733638781052864,2.1843591335364456
8.03841413022895e-11,3,17,0.9486998110335969,8000,True,[],2,49,13,0.05684698587935313,1.114837636321631
1.1748293813039446e-11,3,27,0.9288959411654144,8000,True,[],3,75,14,0.0577131467756458,1.3616361898586962
1.1337341296675907e-10,3,14,0.9399084724846286,8000,True,[],1,30,15,0.057644082821744234,0.15836565545403913
7.524999025574541e-11,3,22,0.9583011930219058,8000,True,[],1,38,16,0.05616743584312755,0.3555157773863853
1.2349072305484323e-10,3,24,0.9296830833781267,8000,True,[],2,56,17,0.05695772057770868,0.7657350125090444
2.114265536084274e-10,3,22,0.966343900223694,8000,True,[],1,38,18,0.0591285675791396,0.7178583075724665
1.2563145561734715e-10,3,24,0.9339825451055933,8000,True,[],1,40,19,0.05926721386074047,0.2780364940321415
5.376093131958518e-11,3,11,0.9662174551056888,16000,True,[],0,11,0,0.05767269008373647,0.0
2.6408312847722952e-11,3,21,0.9528770132447015,16000,True,[],2,53,1,0.056766614529870474,0.38247824895323423
5.098782860055175e-12,3,16,0.9265910818009637,16000,True,[],2,48,2,0.057622419139517905,0.9180258741968605
1.5207429203792131e-10,3,29,0.9428819501233068,16000,True,[],3,77,3,0.056375981485283874,0.6288650956551848
3.944573408170844e-12,3,21,0.9691208632660893,16000,True,[],0,21,4,0.05660178785399974,0.0
1.712766358520587e-11,3,17,0.9765851595634885,16000,True,[],3,65,5,0.05794779420491394,0.9690438615802904
2.456571217192932e-11,3,19,0.9564946668667962,16000,True,[],1,35,6,0.05778070696646824,0.24852944251832898
1.7064970086899949e-10,3,23,0.977607259336449,16000,True,[],1,39,7,0.057222431920209274,0.2869491582660981
1.246053882509219e-11,3,21,0.9402411731850668,16000,True,[],1,37,8,0.05676372575115432,0.5409169734773291
1.3896038067384101e-10,3,16,0.9578314495942531,16000,True,[],4,80,9,0.05902281461815257,1.1416397653565762
2.3433544345593973e-11,3,15,0.9401731640745502,16000,True,[],1,31,10,0.056303633425254504,0.5194646156968878
2.701231442112444e-11,3,10,0.9490133827946008,16000,True,[],0,10,11,0.05538488543093272,0.0
2.6842070782574226e-11,3,15,0.957310876217595,16000,True,[],2,47,12,0.058882720976650066,0.48998405144360413
1.3200503625309666e-10,3,28,0.9643289304640397,16000,True,[],5,108,13,0.05760270512036732,2.5842863587069576
6.127557012989147e-11,3,11,0.9484779784372253,16000,True,[],0,11,14,0.0580760080296528,0.0
2.7572661084816747e-11,3,21,0.9492244936694096,16000,True,[],0,21,15,0.05778613269458642,0.0
4.190120705698202e-11,3,15,0.9600001722994833,16000,True,[],2,47,16,0.05649052961735402,0.20000950232221387
3.354665717658885e-11,3,19,0.9459566843181836,16000,True,[],5,99,17,0.05871717378835245,1.187120556681859
3.902432314151486e-11,3,17,0.9538614411908557,16000,True,[],1,33,18,0.05811599792419793,0.2160720274304992
2.8241495461152553e-11,3,16,0.9546483502394151,16000,True,[],2,48,19,0.05842762263319661,0.36686359091886905
