candidate_count,dimension,mu,optimizer_converged,outside_candidate_payers,panel,payer_count,payer_fraction,runtime_seconds,seed,shuffled_label_accuracy,test_accuracy,training_accuracy
0,4,4.0,True,[],accuracy_association,0,0.0,0.003523874969687313,5,0.4984,1.0,1.0
0,4,4.0,True,[],accuracy_association,0,0.0,0.01677004201337695,6,0.4976,1.0,1.0
0,4,4.0,True,[],accuracy_association,0,0.0,0.0035003339871764183,7,0.5082,0.9998,1.0
0,4,4.0,True,[],accuracy_association,0,0.0,0.0030869999900460243,8,0.4868,1.0,1.0
0,4,4.0,True,[],accuracy_association,0,0.0,0.007910749991424382,9,0.5096,1.0,1.0
0,4,5.0,True,[],accuracy_association,0,0.0,0.013068833039142191,0,0.4988,1.0,1.0
0,4,5.0,True,[],accuracy_association,0,0.0,0.003099875000771135,1,0.4908,1.0,1.0
0,4,5.0,True,[],accuracy_association,0,0.0,0.0030394160421565175,2,0.4904,1.0,1.0
0,4,5.0,True,[],accuracy_association,0,0.0,0.0043912919936701655,3,0.5064,1.0,1.0
0,4,5.0,True,[],accuracy_association,0,0.0,0.0031183339888229966,4,0.4948,1.0,1.0
0,4,5.0,True,[],accuracy_association,0,0.0,0.0031734159565530717,5,0.5068,1.0,1.0
0,4,5.0,True,[],accuracy_association,0,0.0,0.018653292034287006,6,0.4932,1.0,1.0
0,4,5.0,True,[],accuracy_association,0,0.0,0.002693791000638157,7,0.5032,1.0,1.0
0,4,5.0,True,[],accuracy_association,0,0.0,0.003403125039767474,8,0.504,1.0,1.0
0,4,5.0,True,[],accuracy_association,0,0.0,0.010382584005128592,9,0.488,1.0,1.0
0,4,6.0,True,[],accuracy_association,0,0.0,0.004375083022750914,0,0.5004,1.0,1.0
0,4,6.0,True,[],accuracy_association,0,0.0,0.0033664589864201844,1,0.5064,1.0,1.0
0,4,6.0,True,[],accuracy_association,0,0.0,0.006728624983225018,2,0.5056,1.0,1.0
0,4,6.0,True,[],accuracy_association,0,0.0,0.00378904101671651,3,0.5084,1.0,1.0
0,4,6.0,True,[],accuracy_association,0,0.0,0.006615333026275039,4,0.5036,1.0,1.0
0,4,6.0,True,[],accuracy_association,0,0.0,0.003753459022846073,5,0.5084,1.0,1.0
0,4,6.0,True,[],accuracy_association,0,0.0,0.004938833997584879,6,0.4912,1.0,1.0
0,4,6.0,True,[],accuracy_association,0,0.0,0.003320291987620294,7,0.5028,1.0,1.0
0,4,6.0,True,[],accuracy_association,0,0.0,0.012123083986807615,8,0.4968,1.0,1.0
0,4,6.0,True,[],accuracy_association,0,0.0,0.006453209032770246,9,0.498,1.0,1.0
44,8,0.0,True,[],accuracy_association,44,0.088,0.04697837500134483,0,0.4902,0.5034,0.524
28,8,0.0,True,[],accuracy_association,28,0.056,0.06189237500075251,1,0.502,0.4948,0.542
22,8,0.0,True,[],accuracy_association,22,0.044,0.0425278750481084,2,0.4902,0.5022,0.566
30,8,0.0,True,[],accuracy_association,30,0.06,0.06212199997389689,3,0.5064,0.5236,0.552
22,8,0.0,True,[],accuracy_association,22,0.044,0.02987949998350814,4,0.5012,0.4952,0.568
25,8,0.0,True,[],accuracy_association,25,0.05,0.06795620801858604,5,0.5024,0.5072,0.55
34,8,0.0,True,[],accuracy_association,34,0.068,0.11599766602739692,6,0.503,0.4926,0.548
17,8,0.0,True,[],accuracy_association,17,0.034,0.05717079102760181,7,0.4944,0.4928,0.532
36,8,0.0,True,[],accuracy_association,36,0.072,0.12994445796357468,8,0.5054,0.5062,0.522
25,8,0.0,True,[],accuracy_association,25,0.05,0.09313858300447464,9,0.5094,0.4966,0.554
2,8,0.5,True,[],accuracy_association,2,0.004,0.02678920899052173,0,0.4976,0.6976,0.672
7,8,0.5,True,[],accuracy_association,7,0.014,0.025114042044151574,1,0.5082,0.685,0.686
1,8,0.5,True,[],accuracy_association,1,0.002,0.013265541987493634,2,0.5,0.6848,0.66
7,8,0.5,True,[],accuracy_association,7,0.014,0.015717292029876262,3,0.4958,0.6878,0.694
6,8,0.5,True,[],accuracy_association,6,0.012,0.014103125024121255,4,0.4978,0.6906,0.684
9,8,0.5,True,[],accuracy_association,9,0.018,0.03146500000730157,5,0.4914,0.6822,0.684
4,8,0.5,True,[],accuracy_association,4,0.008,0.007175833045039326,6,0.499,0.6794,0.69
8,8,0.5,True,[],accuracy_association,8,0.016,0.03203395800665021,7,0.4958,0.687,0.718
8,8,0.5,True,[],accuracy_association,8,0.016,0.014231332985218614,8,0.5036,0.6948,0.73
3,8,0.5,True,[],accuracy_association,3,0.006,0.02181574999121949,9,0.5124,0.6912,0.698
2,8,1.0,True,[],accuracy_association,1,0.002,0.014121957996394485,0,0.4902,0.833,0.852
2,8,1.0,True,[],accuracy_association,1,0.002,0.017932332993950695,1,0.506,0.8352,0.846
3,8,1.0,True,[],accuracy_association,3,0.006,0.013543792010750622,2,0.5034,0.8462,0.854
8,8,1.0,True,[],accuracy_association,8,0.016,0.01711270899977535,3,0.499,0.8518,0.838
0,8,1.0,True,[],accuracy_association,0,0.0,0.006789333012420684,4,0.5002,0.8478,0.83
0,8,1.0,True,[],accuracy_association,0,0.0,0.007685291988309473,5,0.4908,0.8464,0.828
3,8,1.0,True,[],accuracy_association,3,0.006,0.007584500010125339,6,0.485,0.835,0.824
